event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
70,2026-07-15T01:23:10.372851375Z,5.072534069,-10.697199589,2207,229,2,0,0.620060081072,0,1
71,2026-07-15T01:23:10.473229146Z,5.172911840,-10.596821818,2207,229,2,0,0.620060081072,0,1
72,2026-07-15T01:23:10.573600593Z,5.273283287,-10.496450371,2208,229,2,0,0.619864545551,0,1
73,2026-07-15T01:23:10.673925953Z,5.373608647,-10.396125011,2208,229,2,0,0.619864545551,0,1
74,2026-07-15T01:23:10.774362508Z,5.474045202,-10.295688456,2208,229,2,0,0.619864545551,0,1
75,2026-07-15T01:23:10.874977216Z,5.574659910,-10.195073748,2209,229,2,0,0.619669099385,0,1
76,2026-07-15T01:23:10.975630919Z,5.675313613,-10.094420045,2209,229,2,0,0.619669099385,0,1
77,2026-07-15T01:23:11.076255121Z,5.775937815,-9.993795843,2209,229,2,0,0.619669099385,0,1
78,2026-07-15T01:23:11.176697987Z,5.876380681,-9.893352977,2209,229,2,0,0.619669099385,0,1
79,2026-07-15T01:23:11.277384104Z,5.977066798,-9.792666860,2209,229,2,0,0.619669099385,0,1
80,2026-07-15T01:23:11.377956754Z,6.077639448,-9.692094210,2209,229,2,0,0.619669099385,0,1
81,2026-07-15T01:23:11.478493350Z,6.178176044,-9.591557614,2210,229,2,0,0.619473742494,0,1
82,2026-07-15T01:23:11.578974337Z,6.278657031,-9.491076627,2210,230,2,0,0.619473742494,0,1
83,2026-07-15T01:23:11.679738976Z,6.379421670,-9.390311988,2210,230,2,0,0.619473742494,0,1
84,2026-07-15T01:23:11.780429793Z,6.480112487,-9.289621171,2210,229,2,0,0.619473742494,0,1
85,2026-07-15T01:23:11.881002904Z,6.580685598,-9.189048060,2211,230,2,0,0.619278474795,0,1
86,2026-07-15T01:23:11.981467231Z,6.681149925,-9.088583733,2211,230,2,0,0.619278474795,0,1
87,2026-07-15T01:23:12.082045053Z,6.781727747,-8.988005911,2211,230,2,0,0.619278474795,0,1
88,2026-07-15T01:23:12.182621839Z,6.882304533,-8.887429125,2211,230,2,0,0.619278474795,0,1
89,2026-07-15T01:23:12.283278352Z,6.982961046,-8.786772612,2211,230,2,0,0.619278474795,0,1
90,2026-07-15T01:23:12.383725243Z,7.083407937,-8.686325721,2211,230,2,0,0.619278474795,0,1
