event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
70,2026-07-15T00:56:50.308072558Z,5.074310211,-10.631820046,2260,234,2,0,0.609817958679,0,1
71,2026-07-15T00:56:50.408550087Z,5.174787740,-10.531342517,2260,234,2,0,0.609817958679,0,1
72,2026-07-15T00:56:50.508997035Z,5.275234688,-10.430895569,2260,234,2,0,0.609817958679,0,1
73,2026-07-15T00:56:50.609827203Z,5.376064856,-10.330065401,2260,234,2,0,0.609817958679,0,1
74,2026-07-15T00:56:50.710433456Z,5.476671109,-10.229459148,2260,234,2,0,0.609817958679,0,1
75,2026-07-15T00:56:50.811013136Z,5.577250789,-10.128879468,2260,234,2,0,0.609817958679,0,1
76,2026-07-15T00:56:50.911381794Z,5.677619447,-10.028510810,2260,234,2,0,0.609817958679,0,1
77,2026-07-15T00:56:51.012096686Z,5.778334339,-9.927795918,2261,235,2,0,0.609627049565,0,1
78,2026-07-15T00:56:51.112981383Z,5.879219036,-9.826911221,2261,234,2,0,0.609627049565,0,1
79,2026-07-15T00:56:51.213848983Z,5.980086636,-9.726043621,2261,235,2,0,0.609627049565,0,1
80,2026-07-15T00:56:51.314451195Z,6.080688848,-9.625441409,2261,235,2,0,0.609627049565,0,1
81,2026-07-15T00:56:51.415091723Z,6.181329376,-9.524800881,2261,235,2,0,0.609627049565,0,1
82,2026-07-15T00:56:51.515727061Z,6.281964714,-9.424165543,2261,235,2,0,0.609627049565,0,1
83,2026-07-15T00:56:51.616429915Z,6.382667568,-9.323462689,2261,235,2,0,0.609627049565,0,1
84,2026-07-15T00:56:51.717157708Z,6.483395361,-9.222734896,2261,235,2,0,0.609627049565,0,1
85,2026-07-15T00:56:51.817668736Z,6.583906389,-9.122223868,2261,235,2,0,0.609627049565,0,1
86,2026-07-15T00:56:51.918242813Z,6.684480466,-9.021649791,2261,235,2,0,0.609627049565,0,1
87,2026-07-15T00:56:52.018979092Z,6.785216745,-8.920913512,2262,235,2,0,0.609436225648,0,1
88,2026-07-15T00:56:52.119703808Z,6.885941461,-8.820188796,2261,235,2,0,0.609627049565,0,1
89,2026-07-15T00:56:52.220304452Z,6.986542105,-8.719588152,2261,235,2,0,0.609627049565,0,1
90,2026-07-15T00:56:52.320751685Z,7.086989338,-8.619140919,2261,235,2,0,0.609627049565,0,1
91,2026-07-15T00:56:52.421397581Z,7.187635234,-8.518495023,2261,235,2,0,0.609627049565,0,1
92,2026-07-15T00:56:52.521790900Z,7.288028553,-8.418101704,2261,235,2,0,0.609627049565,0,1
93,2026-07-15T00:56:52.622256067Z,7.388493720,-8.317636537,2261,235,2,0,0.609627049565,0,1
94,2026-07-15T00:56:52.722990938Z,7.489228591,-8.216901666,2261,235,2,0,0.609627049565,0,1
95,2026-07-15T00:56:52.823779585Z,7.590017238,-8.116113019,2261,235,2,0,0.609627049565,0,1
96,2026-07-15T00:56:52.924449324Z,7.690686977,-8.015443280,2262,235,2,0,0.609436225648,0,1
97,2026-07-15T00:56:53.075008475Z,7.841246128,-7.864884129,2262,235,2,0,0.609436225648,0,1
98,2026-07-15T00:56:53.175869381Z,7.942107034,-7.764023223,2262,235,2,0,0.609436225648,0,1
99,2026-07-15T00:56:53.276360199Z,8.042597852,-7.663532405,2262,235,2,0,0.609436225648,0,1
100,2026-07-15T00:56:53.377238804Z,8.143476457,-7.562653800,2262,235,2,0,0.609436225648,0,1
101,2026-07-15T00:56:53.477996657Z,8.244234310,-7.461895947,2262,235,2,0,0.609436225648,0,1
102,2026-07-15T00:56:53.578786218Z,8.345023871,-7.361106386,2262,235,2,0,0.609436225648,0,1
103,2026-07-15T00:56:53.679335360Z,8.445573013,-7.260557244,2262,235,2,0,0.609436225648,0,1
104,2026-07-15T00:56:53.780068308Z,8.546305961,-7.159824296,2262,235,2,0,0.609436225648,0,1
105,2026-07-15T00:56:53.880935903Z,8.647173556,-7.058956701,2262,235,2,0,0.609436225648,0,1
106,2026-07-15T00:56:53.981619470Z,8.747857123,-6.958273134,2262,235,2,0,0.609436225648,0,1
107,2026-07-15T00:56:54.082116830Z,8.848354483,-6.857775774,2262,235,2,0,0.609436225648,0,1
108,2026-07-15T00:56:54.182938666Z,8.949176319,-6.756953938,2262,235,2,0,0.609436225648,0,1
109,2026-07-15T00:56:54.283682781Z,9.049920434,-6.656209823,2262,235,2,0,0.609436225648,0,1
110,2026-07-15T00:56:54.384539290Z,9.150776943,-6.555353314,2262,235,2,0,0.609436225648,0,1
111,2026-07-15T00:56:54.485004121Z,9.251241774,-6.454888483,2262,235,2,0,0.609436225648,0,1
112,2026-07-15T00:56:54.585405164Z,9.351642817,-6.354487440,2262,235,2,0,0.609436225648,0,1
113,2026-07-15T00:56:54.686172462Z,9.452410115,-6.253720142,2262,235,2,0,0.609436225648,0,1
114,2026-07-15T00:56:54.787088114Z,9.553325767,-6.152804490,2262,235,2,0,0.609436225648,0,1
115,2026-07-15T00:56:54.887661326Z,9.653898979,-6.052231278,2263,235,2,0,0.609245486851,0,1
116,2026-07-15T00:56:54.988394186Z,9.754631839,-5.951498418,2263,235,2,0,0.609245486851,0,1
117,2026-07-15T00:56:55.089248720Z,9.855486373,-5.850643884,2263,235,2,0,0.609245486851,0,1
118,2026-07-15T00:56:55.189875197Z,9.956112850,-5.750017407,2263,235,2,0,0.609245486851,0,1
119,2026-07-15T00:56:55.290407022Z,10.056644675,-5.649485582,2263,235,2,0,0.609245486851,0,1
120,2026-07-15T00:56:55.391244254Z,10.157481907,-5.548648350,2263,235,2,0,0.609245486851,0,1
